Running pytorch 2.10.0+cu130
using device: cuda:0
tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:0/4768 | val loss 10.987924 | best_candidate:current
step:107/4768 | loss 6.132306 | train_time:568.41s | step_avg:5263.02ms
step:108/4768 | loss 6.168190 | train_time:573.15s | step_avg:5258.27ms
step:109/4768 | loss 6.209220 | train_time:577.81s | step_avg:5252.81ms
step:110/4768 | loss 6.151610 | train_time:582.54s | step_avg:5248.08ms
step:111/4768 | loss 6.171232 | train_time:587.21s | step_avg:5242.99ms
step:112/4768 | loss 6.157477 | train_time:592.01s | step_avg:5239.02ms
step:113/4768 | loss 6.100442 | train_time:597.63s | step_avg:5242.38ms
step:114/4768 | loss 6.159263 | train_time:602.40s | step_avg:5238.22ms
step:115/4768 | loss 6.124290 | train_time:607.21s | step_avg:5234.55ms
step:116/4768 | loss 6.087743 | train_time:611.91s | step_avg:5230.00ms
step:117/4768 | loss 6.040690 | train_time:616.71s | step_avg:5226.34ms
step:118/4768 | loss 6.084707 | train_time:621.49s | step_avg:5222.58ms
step:119/4768 | loss 6.044971 | train_time:626.97s | step_avg:5224.78ms
step:120/4768 | loss 6.077466 | train_time:632.06s | step_avg:5223.66ms
step:121/4768 | loss 6.050552 | train_time:636.81s | step_avg:5219.78ms
step:122/4768 | loss 6.178227 | train_time:641.61s | step_avg:5216.33ms
step:123/4768 | loss 6.115302 | train_time:646.41s | step_avg:5212.97ms
step:124/4768 | loss 6.135793 | train_time:651.21s | step_avg:5209.71ms
step:125/4768 | loss 6.107762 | train_time:656.21s | step_avg:5208.00ms
step:126/4768 | loss 6.179347 | train_time:661.13s | step_avg:5205.72ms
step:127/4768 | loss 6.068862 | train_time:665.96s | step_avg:5202.81ms
step:128/4768 | val loss 6.120793 | best_candidate:current
step:128/4768 | loss 6.126989 | train_time:671.05s | step_avg:5201.96ms
step:129/4768 | loss 6.084857 | train_time:676.38s | step_avg:5202.95ms
step:130/4768 | loss 6.084202 | train_time:681.19s | step_avg:5199.89ms
step:131/4768 | loss 6.033374 | train_time:685.95s | step_avg:5196.57ms
step:132/4768 | loss 5.970320 | train_time:690.63s | step_avg:5192.73ms
step:133/4768 | loss 6.006785 | train_time:695.35s | step_avg:5189.16ms
step:134/4768 | loss 5.997199 | train_time:700.17s | step_avg:5186.41ms
step:135/4768 | loss 5.895106 | train_time:705.73s | step_avg:5189.22ms
step:136/4768 | loss 5.945663 | train_time:710.63s | step_avg:5187.11ms
step:137/4768 | loss 5.959946 | train_time:716.08s | step_avg:5189.02ms
step:138/4768 | loss 5.957346 | train_time:720.94s | step_avg:5186.62ms
step:139/4768 | loss 5.979175 | train_time:725.89s | step_avg:5184.90ms
step:140/4768 | loss 5.897451 | train_time:730.54s | step_avg:5181.13ms
step:141/4768 | loss 5.990353 | train_time:735.27s | step_avg:5177.97ms
step:142/4768 | loss 5.933576 | train_time:740.08s | step_avg:5175.39ms
step:143/4768 | loss 5.932213 | train_time:744.85s | step_avg:5172.57ms
step:144/4768 | loss 5.896843 | train_time:749.82s | step_avg:5171.15ms
step:145/4768 | loss 5.823503 | train_time:754.57s | step_avg:5168.28ms
step:146/4768 | loss 5.829521 | train_time:759.27s | step_avg:5165.12ms
step:147/4768 | loss 5.885226 | train_time:764.06s | step_avg:5162.57ms
step:148/4768 | loss 5.888762 | train_time:768.83s | step_avg:5159.96ms
step:149/4768 | loss 5.845869 | train_time:773.64s | step_avg:5157.58ms
step:150/4768 | loss 5.843814 | train_time:778.44s | step_avg:5155.26ms
step:151/4768 | loss 5.801326 | train_time:783.39s | step_avg:5153.90ms
step:152/4768 | loss 5.854270 | train_time:788.14s | step_avg:5151.22ms
step:153/4768 | loss 5.795769 | train_time:792.94s | step_avg:5148.97ms
step:154/4768 | loss 5.875401 | train_time:797.74s | step_avg:5146.68ms
step:155/4768 | loss 5.871988 | train_time:802.54s | step_avg:5144.47ms
step:156/4768 | loss 5.873051 | train_time:807.25s | step_avg:5141.69ms
step:157/4768 | loss 5.792170 | train_time:811.94s | step_avg:5138.88ms
step:158/4768 | loss 5.787174 | train_time:816.88s | step_avg:5137.61ms
step:159/4768 | loss 5.790419 | train_time:821.64s | step_avg:5135.23ms
step:160/4768 | loss 5.797104 | train_time:827.70s | step_avg:5141.01ms
step:161/4768 | loss 5.771221 | train_time:832.54s | step_avg:5139.13ms
step:162/4768 | loss 5.732979 | train_time:837.33s | step_avg:5137.02ms
step:163/4768 | loss 5.768941 | train_time:842.14s | step_avg:5134.98ms
step:164/4768 | loss 5.721953 | train_time:846.94s | step_avg:5132.98ms
step:165/4768 | loss 5.767633 | train_time:851.85s | step_avg:5131.61ms
step:166/4768 | loss 5.709881 | train_time:856.55s | step_avg:5129.03ms
step:167/4768 | loss 5.719703 | train_time:861.25s | step_avg:5126.46ms
step:168/4768 | loss 5.671848 | train_time:866.04s | step_avg:5124.49ms
step:169/4768 | loss 5.628829 | train_time:870.87s | step_avg:5122.74ms
step:170/4768 | loss 5.606295 | train_time:875.75s | step_avg:5121.33ms
step:171/4768 | loss 5.714178 | train_time:880.64s | step_avg:5119.98ms
step:172/4768 | loss 5.633924 | train_time:885.69s | step_avg:5119.57ms
step:173/4768 | loss 5.701018 | train_time:890.67s | step_avg:5118.80ms
step:174/4768 | loss 5.705466 | train_time:895.45s | step_avg:5116.86ms
step:175/4768 | loss 5.657322 | train_time:900.25s | step_avg:5115.03ms
step:176/4768 | loss 5.602299 | train_time:905.04s | step_avg:5113.22ms
step:177/4768 | loss 5.652676 | train_time:909.84s | step_avg:5111.45ms
step:178/4768 | loss 5.664442 | train_time:914.64s | step_avg:5109.70ms
step:179/4768 | loss 5.601650 | train_time:919.46s | step_avg:5108.11ms
step:180/4768 | loss 5.563581 | train_time:924.14s | step_avg:5105.76ms
step:181/4768 | loss 5.620080 | train_time:928.94s | step_avg:5104.07ms
step:182/4768 | loss 5.543215 | train_time:933.85s | step_avg:5102.99ms
step:183/4768 | loss 5.623813 | train_time:938.55s | step_avg:5100.81ms
step:184/4768 | loss 5.582085 | train_time:943.34s | step_avg:5099.14ms
step:185/4768 | loss 5.517621 | train_time:948.14s | step_avg:5097.51ms
step:186/4768 | loss 5.636458 | train_time:952.85s | step_avg:5095.43ms
step:187/4768 | loss 5.589257 | train_time:957.54s | step_avg:5093.31ms
step:188/4768 | loss 5.427245 | train_time:962.34s | step_avg:5091.76ms
step:189/4768 | loss 5.558690 | train_time:967.14s | step_avg:5090.23ms
step:190/4768 | loss 5.565805 | train_time:972.14s | step_avg:5089.73ms
step:191/4768 | loss 5.486146 | train_time:976.92s | step_avg:5088.14ms
step:192/4768 | loss 5.503525 | train_time:981.64s | step_avg:5086.21ms
step:193/4768 | loss 5.579366 | train_time:987.36s | step_avg:5089.46ms
step:194/4768 | loss 5.629146 | train_time:992.14s | step_avg:5087.90ms
step:195/4768 | loss 5.632030 | train_time:996.93s | step_avg:5086.37ms
step:196/4768 | loss 5.611727 | train_time:1001.64s | step_avg:5084.47ms
step:197/4768 | loss 5.557041 | train_time:1006.35s | step_avg:5082.55ms
step:198/4768 | loss 5.523555 | train_time:1011.25s | step_avg:5081.68ms
step:199/4768 | loss 5.573236 | train_time:1016.07s | step_avg:5080.36ms
step:200/4768 | loss 5.638992 | train_time:1020.84s | step_avg:5078.80ms
